round,strategy,cumulative_inspections,pr_auc,cost_usd_spent
1,uncertainty,640,0.9989717223650385,0.0
2,uncertainty,1140,0.9986159169550173,250000.0
3,uncertainty,1640,0.9989417989417989,500000.0
4,uncertainty,2140,1.0,750000.0
5,uncertainty,2640,,1000000.0
6,uncertainty,3140,,1250000.0
7,uncertainty,3640,,1500000.0
8,uncertainty,4140,,1750000.0
9,uncertainty,4640,,2000000.0
10,uncertainty,5140,,2250000.0
1,random,640,0.9989717223650385,0.0
2,random,1140,0.9994410285075461,250000.0
3,random,1640,1.0,500000.0
4,random,2140,1.0,750000.0
5,random,2640,1.0,1000000.0
6,random,3140,1.0,1250000.0
7,random,3640,1.0,1500000.0
8,random,4140,1.0,1750000.0
9,random,4640,1.0,2000000.0
10,random,5140,1.0,2250000.0
